datetime,Predicted_AQI,AQI_Category,Live_AQI_used,temp,dew,humidity,precip,windspeed,winddir,visibility,so2,no2,o3,co,hour,day_of_week,is_weekend,dow_sin,dow_cos,aqi_lag1
2025-09-26 06:00:00+05:00,63.99557113647461,Moderate 😐,62.0,26.7,23.2,81.15,0.0,15.5,295.6,24.1,,,,,6,4,0,-0.433883739117558,-0.9009688679024191,62.0
2025-09-26 07:00:00+05:00,67.5434341430664,Moderate 😐,62.0,26.6,23.3,82.13,0.0,15.8,292.8,24.1,,,,,7,4,0,-0.433883739117558,-0.9009688679024191,63.99557113647461
2025-09-26 08:00:00+05:00,68.9985122680664,Moderate 😐,62.0,26.6,23.3,82.13,0.0,15.8,286.4,24.1,,,,,8,4,0,-0.433883739117558,-0.9009688679024191,67.5434341430664
2025-09-26 09:00:00+05:00,69.51001739501953,Moderate 😐,62.0,26.9,23.2,80.2,0.0,15.1,274.4,24.1,,,,,9,4,0,-0.433883739117558,-0.9009688679024191,68.9985122680664
2025-09-26 10:00:00+05:00,69.2637710571289,Moderate 😐,62.0,27.2,23.2,78.8,0.0,14.8,260.1,24.1,,,,,10,4,0,-0.433883739117558,-0.9009688679024191,69.51001739501953
2025-09-26 11:00:00+05:00,69.79609680175781,Moderate 😐,62.0,27.4,23.2,77.88,0.0,16.9,252.3,24.1,,,,,11,4,0,-0.433883739117558,-0.9009688679024191,69.2637710571289
2025-09-26 12:00:00+05:00,72.8782958984375,Moderate 😐,62.0,27.6,23.1,76.51,0.0,17.6,247.3,24.1,,,,,12,4,0,-0.433883739117558,-0.9009688679024191,69.79609680175781
2025-09-26 13:00:00+05:00,73.2899398803711,Moderate 😐,62.0,27.7,23.2,76.53,0.0,18.4,248.7,24.1,,,,,13,4,0,-0.433883739117558,-0.9009688679024191,72.8782958984375
2025-09-26 14:00:00+05:00,74.69733428955078,Moderate 😐,62.0,27.8,23.0,75.17,0.0,19.1,248.1,24.1,,,,,14,4,0,-0.433883739117558,-0.9009688679024191,73.2899398803711
2025-09-26 15:00:00+05:00,75.56840515136719,Moderate 😐,62.0,27.8,23.0,75.17,0.0,18.4,247.6,24.1,,,,,15,4,0,-0.433883739117558,-0.9009688679024191,74.69733428955078
