datetime,Predicted_AQI,AQI_Category,Live_AQI_used,temp,dew,humidity,precip,windspeed,winddir,visibility,so2,no2,o3,co,hour,day_of_week,is_weekend,dow_sin,dow_cos,aqi_lag1
2025-08-23 06:00:00+05:00,63.8086051940918,Moderate 😐,30.0,27.3,25.2,88.33,0.1,33.1,263.5,24.1,,,,,6,5,1,-0.9749279121818236,-0.2225209339563146,30.0
2025-08-23 07:00:00+05:00,68.14318084716797,Moderate 😐,30.0,27.6,25.3,87.31,0.1,31.7,259.7,24.1,,,,,7,5,1,-0.9749279121818236,-0.2225209339563146,63.8086051940918
2025-08-23 08:00:00+05:00,70.79338073730469,Moderate 😐,30.0,27.7,25.3,86.8,0.0,32.4,261.8,24.1,,,,,8,5,1,-0.9749279121818236,-0.2225209339563146,68.14318084716797
2025-08-23 09:00:00+05:00,74.12084197998047,Moderate 😐,30.0,27.9,25.2,85.28,0.0,31.3,263.6,24.1,,,,,9,5,1,-0.9749279121818236,-0.2225209339563146,70.79338073730469
2025-08-23 10:00:00+05:00,75.82349395751953,Moderate 😐,30.0,28.0,25.2,84.79,0.0,31.7,265.2,24.1,,,,,10,5,1,-0.9749279121818236,-0.2225209339563146,74.12084197998047
2025-08-23 11:00:00+05:00,75.66320037841797,Moderate 😐,30.0,28.0,25.1,84.28,0.1,31.7,262.9,24.1,,,,,11,5,1,-0.9749279121818236,-0.2225209339563146,75.82349395751953
2025-08-23 12:00:00+05:00,75.7742919921875,Moderate 😐,30.0,28.2,25.1,83.31,0.0,30.2,260.8,24.1,,,,,12,5,1,-0.9749279121818236,-0.2225209339563146,75.66320037841797
2025-08-23 13:00:00+05:00,75.57583618164062,Moderate 😐,30.0,28.2,25.2,83.8,0.0,30.6,256.5,24.1,,,,,13,5,1,-0.9749279121818236,-0.2225209339563146,75.7742919921875
2025-08-23 14:00:00+05:00,74.90379333496094,Moderate 😐,30.0,28.2,25.2,83.8,0.1,31.0,252.8,24.1,,,,,14,5,1,-0.9749279121818236,-0.2225209339563146,75.57583618164062
2025-08-23 15:00:00+05:00,75.03412628173828,Moderate 😐,30.0,28.1,25.4,85.3,0.0,33.5,254.9,24.1,,,,,15,5,1,-0.9749279121818236,-0.2225209339563146,74.90379333496094
2025-08-23 16:00:00+05:00,75.14849090576172,Moderate 😐,30.0,27.9,25.2,85.28,0.0,33.5,251.5,24.1,,,,,16,5,1,-0.9749279121818236,-0.2225209339563146,75.03412628173828
2025-08-23 17:00:00+05:00,75.65142059326172,Moderate 😐,30.0,28.0,25.2,84.79,0.0,32.0,246.2,24.1,,,,,17,5,1,-0.9749279121818236,-0.2225209339563146,75.14849090576172
2025-08-23 18:00:00+05:00,75.15315246582031,Moderate 😐,30.0,27.9,25.2,85.28,0.1,31.7,244.5,24.1,,,,,18,5,1,-0.9749279121818236,-0.2225209339563146,75.65142059326172
2025-08-23 19:00:00+05:00,75.14388275146484,Moderate 😐,30.0,27.9,25.2,85.28,0.0,30.2,242.9,24.1,,,,,19,5,1,-0.9749279121818236,-0.2225209339563146,75.15315246582031
2025-08-23 20:00:00+05:00,75.3532943725586,Moderate 😐,30.0,27.9,25.2,85.28,0.0,29.2,241.0,24.1,,,,,20,5,1,-0.9749279121818236,-0.2225209339563146,75.14388275146484
2025-08-23 21:00:00+05:00,79.19766235351562,Moderate 😐,30.0,27.9,25.2,85.28,0.0,27.7,243.0,24.1,,,,,21,5,1,-0.9749279121818236,-0.2225209339563146,75.3532943725586
2025-08-23 22:00:00+05:00,80.75127410888672,Moderate 😐,30.0,27.9,25.2,85.28,0.0,28.8,249.1,24.1,,,,,22,5,1,-0.9749279121818236,-0.2225209339563146,79.19766235351562
2025-08-23 23:00:00+05:00,82.24300384521484,Moderate 😐,30.0,27.9,25.1,84.78,0.0,27.4,253.2,24.1,,,,,23,5,1,-0.9749279121818236,-0.2225209339563146,80.75127410888672
2025-08-24 00:00:00+05:00,80.54048919677734,Moderate 😐,30.0,27.9,25.1,84.78,0.1,28.4,258.6,24.1,,,,,0,6,1,-0.7818314824680299,0.6234898018587334,82.24300384521484
2025-08-24 01:00:00+05:00,81.60417938232422,Moderate 😐,30.0,27.8,25.0,84.77,0.0,29.9,261.6,24.1,,,,,1,6,1,-0.7818314824680299,0.6234898018587334,80.54048919677734
2025-08-24 02:00:00+05:00,79.72500610351562,Moderate 😐,30.0,27.8,25.2,85.78,0.1,30.6,262.7,24.1,,,,,2,6,1,-0.7818314824680299,0.6234898018587334,81.60417938232422
2025-08-24 03:00:00+05:00,78.77577209472656,Moderate 😐,30.0,27.5,25.2,87.3,0.0,30.6,262.0,24.1,,,,,3,6,1,-0.7818314824680299,0.6234898018587334,79.72500610351562
2025-08-24 04:00:00+05:00,77.24563598632812,Moderate 😐,30.0,27.4,25.3,88.34,0.2,29.9,263.6,24.1,,,,,4,6,1,-0.7818314824680299,0.6234898018587334,78.77577209472656
